HSHD_NUM        ,L,AGE_RANGE                                                                                                                                                                                               ,MARITAL,INCOME_RANGE                                                                                                                                                                                            ,HOMEOWNER,HSHD_COMPOSITION ,HH_SIZE                                                                                                                                                                                                 ,CHILDREN
1861            ,Y,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1                                                                                                                                                                                                       ,null
4218            ,Y,35-44                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
1660            ,Y,35-44                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Renter   ,Single Female    ,1                                                                                                                                                                                                       ,null
4745            ,N,35-44                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Renter   ,Single Female    ,1                                                                                                                                                                                                       ,null
2211            ,N,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
3467            ,N,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1                                                                                                                                                                                                       ,null
4005            ,Y,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
4716            ,N,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
0139            ,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,Single Female    ,1                                                                                                                                                                                                       ,null
1916            ,N,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
2575            ,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
3800            ,N,55-64                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
0554            ,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,null
0225            ,N,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
1132            ,Y,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
2442            ,Y,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
0308            ,Y,65-74                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Female    ,1                                                                                                                                                                                                       ,null
4078            ,Y,19-24                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2004            ,Y,25-34                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
1034            ,Y,25-34                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,5+                                                                                                                                                                                                      ,3+
3670            ,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
3784            ,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,3                                                                                                                                                                                                       ,2
3105            ,Y,25-34                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,null                                                                                                                                                                                                    ,null
4057            ,Y,25-34                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
3003            ,Y,25-34                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
3398            ,Y,25-34                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
4740            ,Y,25-34                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
0438            ,Y,35-44                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Renter   ,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
0594            ,N,35-44                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2148            ,Y,35-44                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2225            ,N,35-44                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,null                                                                                                                                                                                                    ,null
2453            ,Y,35-44                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,null                                                                                                                                                                                                    ,null
0183            ,Y,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
0422            ,Y,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,5+                                                                                                                                                                                                      ,3+
1461            ,Y,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,5+                                                                                                                                                                                                      ,3+
3418            ,N,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,5+                                                                                                                                                                                                      ,3+
3904            ,Y,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
3314            ,Y,35-44                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,3                                                                                                                                                                                                       ,2
0764            ,Y,35-44                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2512            ,Y,35-44                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,5+                                                                                                                                                                                                      ,3+
2617            ,N,35-44                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2011            ,Y,35-44                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2990            ,Y,35-44                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
4171            ,Y,35-44                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,1 Adult and Kids ,3                                                                                                                                                                                                       ,2
0117            ,Y,45-54                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,1 Adult and Kids ,5+                                                                                                                                                                                                      ,3+
1301            ,Y,45-54                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Renter   ,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2937            ,Y,45-54                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
0642            ,N,45-54                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
0682            ,N,45-54                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,3                                                                                                                                                                                                       ,2
1120            ,Y,45-54                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
4272            ,Y,45-54                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,3                                                                                                                                                                                                       ,2
0762            ,N,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2175            ,Y,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,4                                                                                                                                                                                                       ,3+
3820            ,Y,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
1729            ,Y,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
4293            ,Y,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Renter   ,1 Adult and Kids ,null                                                                                                                                                                                                    ,null
4457            ,N,45-54                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
1358            ,N,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,4                                                                                                                                                                                                       ,3+
1532            ,Y,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,null                                                                                                                                                                                                    ,null
2143            ,Y,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,4                                                                                                                                                                                                       ,3+
2573            ,Y,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
2921            ,N,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,4                                                                                                                                                                                                       ,3+
2934            ,Y,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,3                                                                                                                                                                                                       ,2
4126            ,Y,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
4713            ,Y,45-54                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult and Kids ,5+                                                                                                                                                                                                      ,3+
0845            ,Y,45-54                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Renter   ,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
1015            ,Y,45-54                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult and Kids ,4                                                                                                                                                                                                       ,3+
0401            ,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
1121            ,N,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult and Kids ,2                                                                                                                                                                                                       ,1
